time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-09T06:12:23.320Z,19.0991,-80.4345,10,5,mww,,28,0.656,1.08,us,us60006p4t,2019-12-09T21:30:55.491Z,"75km ESE of East End, Cayman Islands",earthquake,3.6,1.8,0.08,15,reviewed,us,us
2019-12-07T22:23:16.010Z,18.8375,-64.3476,19,4.4,ml,25,211,1.6437,0.42,pr,pr2019341013,2019-12-08T13:33:50.373Z,"57km NE of Road Town, British Virgin Islands",earthquake,3.22,5.11,0.36,16,reviewed,pr,pr
2019-11-29T15:08:44.700Z,18.9836,-67.1885,37,4.78,ml,23,202,0.5219,0.82,pr,pr2019333005,2019-11-29T23:11:18.909Z,"46km N of San Antonio, Puerto Rico",earthquake,3.01,12.6,0.11,10,reviewed,pr,pr
2019-11-27T03:24:26.150Z,19.5398,-67.1668,28,4,md,21,234,1.0737,0.45,pr,pr2019331005,2019-11-27T11:27:06.027Z,"101km N of San Antonio, Puerto Rico",earthquake,1.82,27.87,0.13,14,reviewed,pr,pr
2019-11-23T16:44:54.408Z,17.7076,-60.7738,28.2,4.4,mb,,223,0.965,1.22,us,us70006c82,2019-11-23T17:20:01.040Z,"110km E of Codrington, Barbuda",earthquake,5.6,8.1,0.149,13,reviewed,us,us
2019-10-27T13:29:52.160Z,19.1476,-67.2883,19,4.3,ml,22,209,0.7028,0.85,pr,pr2019300014,2019-11-27T14:43:48.040Z,"75km NNW of Isabela, Puerto Rico",earthquake,2.74,9.28,0.14,9,reviewed,pr,pr
2019-10-11T03:45:46.510Z,18.3731,-64.344,128,4.14,md,27,181,1.3097,0.79,pr,pr2019284000,2019-11-10T00:50:12.040Z,"43km SE of Road Town, British Virgin Islands",earthquake,6.46,3.43,0.29,19,reviewed,pr,pr
2019-10-07T01:02:14.451Z,19.5716,-64.5717,10,4.6,mb,,48,1.866,0.83,us,us70005rgt,2019-10-17T00:12:57.465Z,"127km N of Road Town, British Virgin Islands",earthquake,6.2,1.9,0.069,62,reviewed,us,us
2019-10-06T15:10:44.220Z,19.6966,-64.5655,15,4.96,md,29,228,2.0566,0.44,pr,pr2019279014,2019-11-13T19:37:17.040Z,"116km N of Road Town, British Virgin Islands",earthquake,1.93,5.13,0.35,23,reviewed,pr,pr
2019-10-04T07:47:15.300Z,19.3313,-67.5186,39,4.04,md,17,309,0.9476,0.47,pr,pr2019277011,2019-11-14T06:29:04.040Z,"60km NNW of San Antonio, Puerto Rico",earthquake,2.99,14.56,0.26,12,reviewed,pr,pr
2019-10-02T11:08:11.680Z,19.235,-67.2761,25,4.08,md,17,242,0.785,0.46,pr,pr2019275013,2019-11-15T06:29:50.040Z,"71km NNW of San Antonio, Puerto Rico",earthquake,1.98,29.21,0.23,12,reviewed,pr,pr
2019-09-27T03:51:38.530Z,19.092,-67.2023,8,4.7,ml,23,209,0.6311,0.43,pr,pr2019270000,2019-10-26T02:58:03.753Z,"61km N of Isabela, Puerto Rico",earthquake,1.65,31.61,0.38,14,reviewed,pr,pr
2019-09-26T02:12:39.160Z,19.1278,-67.2475,8,4.2,ml,23,210,0.6742,0.34,pr,pr2019269002,2019-10-28T03:37:59.040Z,"56km NNW of San Antonio, Puerto Rico",earthquake,1.59,31.61,0.35,20,reviewed,pr,pr
